bus,decrease_MWh,increase_MWh,net_cost,net_down_MWh,x,y
CRSS3-,212.45388820296048,30.0,6581.755023600792,182.45388820296048,183186.99852749883,651103.1523920998
EDIN1-,161.92127101072498,0.0,2386.732271323372,161.92127101072498,134546.74452140596,850977.3168778961
BROA1Q,152.12024946767042,0.0,2242.2644428365584,152.12024946767042,162669.27181330245,824336.6862327995
LUND1-,150.525385596454,0.0,2218.7560239238405,150.525385596454,208740.62470245958,766209.8564603591
WHTB1S,149.541894975278,0.0,2204.2592948069546,149.541894975278,223588.0282540509,692691.2849690899
BEIN11,140.564271804067,0.0,2071.928423089113,140.564271804067,220441.97174059693,804419.02467447
JUNB1-,139.9132730556,0.0,3497.831826389999,139.9132730556,200092.29621650188,682886.6566621913
SLOY1A,129.6310285364595,0.0,1910.771557322544,129.6310285364595,232548.37392839574,709278.7725432945
KEOO5-,127.51072002605,0.0,3187.7680006512496,127.51072002605,261179.94150830852,587336.5674621015
RANN3Q,107.7604140422245,0.0,1588.396979348747,107.7604140422245,253186.35387580338,757960.8095338563
HARM61,87.0164991767393,0.0,2175.4124794184827,87.0164991767393,445816.9676182631,534252.9930167802
RORE31,55.05370768219999,0.0,1376.342692055,55.05370768219999,338133.84982172924,561273.5947438561
STEW21,50.151199796155,0.0,1253.779994903875,50.151199796155,416882.46723067085,564495.8540365878
NORT21,25.21494,0.0,630.3735,25.21494,441272.7412789464,522070.47660826286
GALA3-,19.24320374399245,0.0,762.5075071662734,19.24320374399245,351809.7477889865,635179.7915158608
ECCL3-,12.217985577813653,0.0,484.13485869995947,12.217985577813653,379485.4209335479,641673.0232436595
FAUG1P,2.14743463289313e-09,7.299467696952887e-10,4.225259821661948e-06,1.4174878631978412e-09,235823.53681322356,808352.4161125647
BOLN41,1.5163230671078052e-09,5.687743609428253e-10,3.2263571478923045e-08,9.4754870616498e-10,523907.3339107641,120920.43815736461
SIZE41,7.122480383259244e-11,0.0,7.122480383259244e-07,7.122480383259244e-11,647326.9961925378,263557.03285808157
FLEE11,2.0129675704083638e-11,0.0,-3.155145582799836e-13,2.0129675704083638e-11,478191.25308758335,150713.07715742273
GWAW31,13.703855117561805,13.70385511756136,753.7120314658773,4.440892098500626e-13,275298.3993041545,369304.17358593614
GREN41,9.345302309782256e-14,0.0,5.607181385869353e-12,9.345302309782256e-14,487103.86207326996,261338.67059593333
BRFO41,9.059419880941277e-14,0.0,-1.4199825690327534e-15,9.059419880941277e-14,610012.2552811322,245737.47111094272
OLDB21,0.0,0.0,0.0,0.0,398579.3704051636,288959.00207805156
OLDB11,0.0,0.0,0.0,0.0,398579.3704051636,288959.00207805156
OCKH21,0.0,0.0,0.0,0.0,397850.9178837318,293682.0657668995
OFFE32,0.0,0.0,0.0,0.0,434898.038987081,554186.3324048966
PEHE2J,0.0,0.0,0.0,0.0,412733.4257806262,843038.0443710013
OLDB2A,0.0,0.0,0.0,0.0,398579.3704051636,288959.00207805156
OFFE31,0.0,0.0,0.0,0.0,434898.038987081,554186.3324048966
OLDB4A,0.0,0.0,0.0,0.0,398579.3704051636,288959.00207805156
OLDS12,0.0,0.0,0.0,0.0,360601.1997419649,194556.93430191337
OFFE21,0.0,0.0,0.0,0.0,434898.038987081,554186.3324048966
OCKH2A,0.0,0.0,0.0,0.0,397850.9178837318,293682.0657668995
PART3-,0.0,0.0,0.0,0.0,255171.34858812176,666465.5825678419
OCKH11,0.0,0.0,0.0,0.0,397850.9178837318,293682.0657668995
ORMO11,0.0,0.0,0.0,0.0,302868.0334102647,532703.8373390806
NURS41,0.0,0.0,0.0,0.0,436073.50454453815,115842.41744328346
NURS11,0.0,0.0,0.0,0.0,436073.50454453815,115842.41744328346
NOTR12,0.0,0.0,0.0,0.0,624790.3364113377,306020.6645946282
NOTR11,0.0,0.0,0.0,0.0,624790.3364113377,306020.6645946282
NORW12,0.0,0.0,0.0,0.0,622915.4363509021,308508.8273160076
NORW11,0.0,0.0,0.0,0.0,622915.4363509021,308508.8273160076
NORT41,0.0,0.0,0.0,0.0,441272.7412789464,522070.47660826286
PEHE2K,0.0,0.0,0.0,0.0,412733.4257806262,843038.0443710013
NORT11,0.0,0.0,0.0,0.0,441272.7412789464,522070.47660826286
NORM1B,0.0,0.0,0.0,0.0,621798.4090255044,302297.79683950107
NORM1A,0.0,0.0,0.0,0.0,621798.4090255044,302297.79683950107
NURS4A,0.0,0.0,0.0,0.0,436073.50454453815,115842.41744328346
ORMO31,0.0,0.0,0.0,0.0,302868.0334102647,532703.8373390806
PEHE2-,0.0,0.0,0.0,0.0,412733.4257806262,843038.0443710013
OSBA42,0.0,0.0,0.0,0.0,464120.05482959194,451586.5374772877
PART1Q,0.0,0.0,0.0,0.0,255171.34858812176,666465.5825678419
